Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
1_1,Khách sạn Mường Thanh Luxury Nha Trang (Muong Thanh Luxury Nha Trang Hotel),5 sao trên 5,"60 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.8,9.4,8.9,8.9,8.7,8.7,8.3
1_2,ALPHA BIRD NHA TRANG,4 sao trên 5,"51/19/37 Tue Tinh St, Loc Tho Ward, Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.7,7.8,7.6,8.1,7.5,8.1,8.299999999999999
1_3,Khách sạn Aaron (Aaron Hotel),3.5 sao trên 5,"6Trần Quang Khải, Lộc Thọ, Nha Trang, Việt Nam, 65000",8.5,8.9,8.7,8.8,8.1,8.5,8.299999999999999
1_4,Panorama Star Beach Nha Trang,5 sao trên 5,"02 Nguyen Thi Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.8,9.6,8.9,8.9,8.7,9.0,8.299999999999999
1_5,Khách sạn Balcony Nha Trang (Balcony Nha Trang Hotel),4 sao trên 5,"98B/13 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.4,8.5,8.7,8.5,8.3,8.6,8.7
1_6,Căn hộ Kymodo Panorama (Kymodo Panorama Apartment),5 sao trên 5,"02 Nguyen Thi Minh Khai Street, Panorama Building, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.8,9.6,8.9,8.7,8.8,9.1,8.299999999999999
1_7,Khách sạn Mega Light (Mega Light Hotel),3 sao trên 5,"86/9 Bac Son St, Vĩnh Hải, Nha Trang, Việt Nam, 650000",7.7,7.7,7.9,8.1,7.7,8.0,8.299999999999999
1_8,Navada Beach Hotel,4.5 sao trên 5,"09-10 Phạm Văn Đồng, Phường Vĩnh Hải , Tp Nha Trang , Khánh Hòa, Vietnam, Vĩnh Hải, Nha Trang, Việt Nam, 650000",9.1,9.2,9.4,9.4,9.1,9.3,8.299999999999999
1_9,Khách Sạn Anrizon Nha Trang (Anrizon Hotel Nha Trang),4 sao trên 5,"4 Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Việt Nam, 650000",8.7,8.9,8.9,8.8,8.7,8.9,8.299999999999999
1_10,Olwen Hotel,3 sao trên 5,"176/11 Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.2,8.9,8.3,8.6,8.0,8.6,8.299999999999999
